DateTime,ReachCategory,Cat1,Cat2,Cat3,Cat4,Cat5
01/12/16 18:32,0-200K,Veg,gravy,Tamilnadu special,,
01/13/16 7:49 pm,0-200K,Veg,Snacks,deep Fried,Andhra special,
03/14/16 8:03 pm,200-400K,Veg,gravy,,,
03/10/16 20:04,200-400K,Veg,Snacks,Tamilnadu special,Sweets,
03/01/16 18:46,200-400K,Veg,Starter,Deep fried,,
02/27/16 4:38 pm,0-200K,Veg,Sweets,,,
03/23/16 1:00 pm,0-200K,Veg,Side dish,,,
03/05/16 17:46,400-600K,Veg,Breakfast,Bread,,
12/18/15 4:10 pm,0-200K,Veg,Gravy,,,
11/28/15 10:26 am,0-200K,Drinks,,,,
01/25/16 5:43 pm,0-200K,Snacks,Bread,Breakfast,,
11/24/15 12:58 pm,0-200K,Veg,Lunch,variety Rice,,
03/18/16 2:09 pm,1000-1200K,Non veg,Snacks,deep fried,,
03/24/16 11:24 am,400-600K,Non Veg,Gravy,,,
12/23/15 8:00 pm,0-200K,Snacks,Dessert,,,
12/24/15 6:01 pm,0-200K,Snacks,Dessert,cakes,,
03/02/16 17:26,400-600K,Drinks,,,,
03/17/16 5:29 pm,600-800K,Veg,Lunch,variety Rice,,
03/17/16 1:04 pm,200-400K,Kids,Snacks,Bread,,
03/09/16 18:32,200-400K,Drinks,,,,
12/12/15 14:31,0-200K,Dessert,Sweets,,,
12/19/15 6:43 pm,0-200K,Dessert,cake,sweets,,
01/22/16 4:51 pm,600-800K,Veg,Dinner,Deep Fried,,
03/15/16 7:43 pm,800-1000K,Non Veg,Variety rice,egg,,
03/12/16 11:30,200-400K,Non Veg,gravy,Egg,,
01/19/16 5:13 pm,0-200K,Veg,Snacks,,,
02/17/16 6:35 pm,400-600K,drinks,,,,
02/06/16 18:14,400-600K,Veg,Starter,Side dish,,
12/16/15 4:28 pm,0-200K,Dessert,Sweets,,,
12/09/15 18:33,0-200K,Veg,Dinner,,,
02/12/16 15:36,200-400K,Dessert,Sweets,Drinks,,
03/25/16 2:50 pm,200-400K,Veg,Masala variety,Ingredient mix,,
01/21/16 2:30 pm,200-400K,Veg,Dessert,Sweets,,
03/26/16 2:08 pm,0-200K,Veg,Ingredient mix,Cooking tips,,
02/16/16 6:21 pm,0-200K,Veg,Snacks,Deep fried,,
12/17/15 5:05 pm,0-200K,Veg,Snacks,Deep fried,,
12/10/15 15:07,0-200K,Veg,Snacks,Sweets,Deep fried,Kerala special
03/16/16 2:31 pm,200-400K,Non veg,Snacks,Deep fried,,
02/02/16 18:04,400-600K,Veg,Lunch,Variety Rice,,
02/26/16 6:59 pm,400-600K,Veg,Snacks,Deep fried,,
02/11/16 16:13,600-800K,Non Veg,Starter,Deep fried,,
02/23/16 7:28 pm,200-400K,Veg,Gravy,Andhra special,,
03/25/16 6:30 pm,200-400K,Non Veg,Lunch,biryani,,
03/23/16 6:00 pm,0-200K,Drinks,,,,
02/18/16 5:30 pm,2000-2200K,Veg,Starter,Deep fried,,
03/11/16 19:46,400-600K,Veg,Snacks,Deep fried,,
03/22/16 6:00 pm,400-600K,Veg,Snacks,Bread,,
03/19/16 3:48 pm,200-400K,Drinks,Sweets,,,
03/21/16 5:01 pm,0-200K,Veg,Snacks,Deep fried,,
02/25/16 6:20 pm,400-600K,Non veg,Sea food,gravy,Goan Cuisine,
03/22/16 12:59 pm,200-400K,Non veg,Bread,,,
02/08/16 17:50,200-400K,Veg,Starter,,,
02/20/16 5:51 pm,600-800K,Veg,Bread,Kids,Snacks,
03/14/16 3:37 pm,200-400K,Veg,Snacks,Kids,Deep fried,
03/07/16 14:21,400-600K,Veg,Lunch,Rice variety,,
02/10/16 17:28,1400-1600K,Veg,Snacks,Kids,Bread,
02/29/16 5:27 pm,200-400K,Veg,Lunch,Rice variety,,
03/11/16 14:11,400-600K,Non Veg,Gravy,,,
03/10/16 16:36,1400-1600K,Ingredient mix,,,,
03/16/16 6:31 pm,200-400K,Non veg,Gravy,Sea food,,
12/26/15 5:54 pm,0-200K,Egg,Starter,,,
12/22/15 8:00 pm,0-200K,Non veg,Starter,Chicken,,
03/21/16 7:00 pm,400-600K,Veg,Starter,,,
02/24/16 6:36 pm,200-400K,Drinks,,,,
01/23/16 5:56 pm,0-200K,Non veg,Starter,Chicken,baked,
12/15/15 6:49 pm,0-200K,Veg,Lunch,Rice variety,,
03/03/16 19:12,2000-2200K,Non veg,Starter,Chicken,baked,
03/15/16 3:16 pm,0-200K,Drinks,,,,
02/16/16 6:11 pm,400-600K,Veg,Snacks,Deep fried,,
03/04/16 14:00,600-800K,Dessert,Sweets,,,
02/09/16 19:30,0-200K,Veg,Gravy,South indian,,
01/03/16 09:58,0-200K,Snacks,Deep fried,,,
01/02/16 17:50,0-200K,Rice variety,,,,
03/12/16 03:33,600-800K,Veg,Gravy,,,
02/15/16 8:40 pm,200-400K,Veg,Rice variety,,,
02/22/16 7:24 pm,2000-2200K,Veg,Rice variety,,,
02/19/16 6:05 pm,1000-1200K,Non Veg,Starter,Andhra special,,
01/29/16 6:18 pm,200-400K,Veg,Dinner,,,
03/08/16 17:03,600-800K,Veg,Sweets,,,
02/04/16 17:32,2000-2200K,Veg,Snacks,Deep fried,,
